title,description,release,summary,tags
"Assassin's Creed 2 Deluxe Edition","An epic story of family, vengeance and conspiracy set in the pristine, yet brutal, backdrop of a Renaissance Italy. New low price and now playable on either PC or Mac OSX!","Released: Mar 9, 2010","Overall user reviews:
			Very Positive
						(9,662 reviews)","[{""tags"":""Action""},{""tags"":""Open World""},{""tags"":""Adventure""},{""tags"":""Parkour""},{""tags"":""Stealth""},{""tags"":""Third Person""},{""tags"":""Assassin""},{""tags"":""Historical""},{""tags"":""Story Rich""},{""tags"":""Singleplayer""},{""tags"":""Great Soundtrack""},{""tags"":""Conspiracy""},{""tags"":""Atmospheric""},{""tags"":""Action-Adventure""},{""tags"":""Classic""},{""tags"":""Controller""},{""tags"":""Multiplayer""},{""tags"":""Alternate History""},{""tags"":""Sandbox""},{""tags"":""Sci-fi""}]"
"GameMaker Studio 2 Mobile","GameMaker Studio 2 is the latest and greatest incarnation of GameMaker! It has everything you need to take your idea from concept to finished game. With no barriers to entry and powerful functionality, GameMaker Studio 2 is the ultimate 2D development environment!","Released: Mar 8, 2017","null","[{""tags"":""Game Development""},{""tags"":""Design & Illustration""},{""tags"":""Animation & Modeling""},{""tags"":""Education""},{""tags"":""Web Publishing""},{""tags"":""Utilities""}]"
"Minecraft: Story Mode - A Telltale Games Series","Episode 1 is now FREE - for a limited time! In Minecraft: Story Mode, playing as either a male or female hero named 'Jesse,' you’ll embark on a perilous adventure across the Overworld, through the Nether, to the End, and beyond.","Released: 13 Oct, 2015","Overall user reviews:
			Mostly Positive
						(6,320 reviews)","[{""tags"":""Memes""},{""tags"":""Adventure""},{""tags"":""Singleplayer""},{""tags"":""Story Rich""},{""tags"":""Pixel Graphics""},{""tags"":""Episodic""},{""tags"":""Choose Your Own Adventure""},{""tags"":""Choices Matter""},{""tags"":""Crafting""},{""tags"":""Survival""},{""tags"":""Family Friendly""},{""tags"":""Comedy""},{""tags"":""Casual""},{""tags"":""Zombies""},{""tags"":""Building""},{""tags"":""Third Person""},{""tags"":""Funny""},{""tags"":""Fantasy""},{""tags"":""Quick-Time Events""},{""tags"":""Atmospheric""}]"
"Factory Engineer","Factory Engineer is a factory simulation game which is about creating a huge automated factory by building production lines to create products and make money. Start with simple products,make money,unlock technologies then create the most sophisticated products.","Released: Mar 20, 2017","Overall user reviews:
			Mixed
						(39 reviews)","[{""tags"":""Sandbox""},{""tags"":""Simulation""},{""tags"":""Building""},{""tags"":""Indie""},{""tags"":""Strategy""},{""tags"":""Inventory Management""},{""tags"":""Management""},{""tags"":""Base Building""},{""tags"":""Resource Management""}]"
"Rocket League® - Batman v Superman: Dawn of Justice Car Pack","Black and blue, god vs man, day vs night! Unleash your own one-car reign of terror with the official Batmobile Battle-Car from the upcoming blockbuster mega-film, Batman v Superman: Dawn of Justice!","Released: 7 Mar, 2016","Overall user reviews:
			Mostly Positive
						(1,072 reviews)","[{""tags"":""Sports""},{""tags"":""Action""},{""tags"":""Racing""},{""tags"":""Indie""},{""tags"":""Batman""},{""tags"":""Multiplayer""}]"
"Subsistence","Subsistence is a sandbox, first person, open-world survival game (currently only singleplayer, with multiplayer in development). Struggle to build a base and gear-up in the hostile environment. Defend yourself from wildlife and AI hunters (who also build bases in the world).","Released: 25 Oct, 2016","Overall user reviews:
			Mostly Positive
						(1,316 reviews)","[{""tags"":""Early Access""},{""tags"":""Survival""},{""tags"":""Crafting""},{""tags"":""Open World""},{""tags"":""Action""},{""tags"":""Multiplayer""},{""tags"":""Sandbox""},{""tags"":""Building""},{""tags"":""First-Person""},{""tags"":""Singleplayer""},{""tags"":""FPS""},{""tags"":""Base Building""},{""tags"":""Difficult""}]"
"Call of Duty®: Black Ops","The biggest first-person action series of all time and the follow-up to critically acclaimed Call of Duty®: Modern Warfare 2 returns with Call of Duty®: Black Ops.","Released: Nov 9, 2010","Overall user reviews:
			Very Positive
						(3,903 reviews)","[{""tags"":""Action""},{""tags"":""FPS""},{""tags"":""Zombies""},{""tags"":""Multiplayer""},{""tags"":""Shooter""},{""tags"":""Cold War""},{""tags"":""Singleplayer""},{""tags"":""First-Person""},{""tags"":""War""},{""tags"":""Military""},{""tags"":""Online Co-Op""},{""tags"":""Co-op""},{""tags"":""Adventure""},{""tags"":""Gore""},{""tags"":""Story Rich""},{""tags"":""Controller""},{""tags"":""Linear""},{""tags"":""Horror""},{""tags"":""Massively Multiplayer""},{""tags"":""Point & Click""}]"
"ASTRONEER","A game of aerospace industry and interplanetary exploration.","Released: Dec 15, 2016","Overall user reviews:
			Very Positive
						(15,029 reviews)","[{""tags"":""Early Access""},{""tags"":""Space""},{""tags"":""Open World""},{""tags"":""Multiplayer""},{""tags"":""Exploration""},{""tags"":""Survival""},{""tags"":""Sandbox""},{""tags"":""Adventure""},{""tags"":""Base Building""},{""tags"":""Co-op""},{""tags"":""Building""},{""tags"":""Crafting""},{""tags"":""Sci-fi""},{""tags"":""Third Person""},{""tags"":""Atmospheric""},{""tags"":""Singleplayer""},{""tags"":""Colorful""},{""tags"":""Indie""},{""tags"":""Great Soundtrack""},{""tags"":""Voxel""}]"
"Euro Truck Simulator 2 - Going East!","Going East! add-on expands the original Euro Truck Simulator 2 map with new destinations for cargo delivery across Poland, Czech Republic, Slovakia, and Hungary.Key Features:Over 20 hours of driving to explore all the new areas in the game world13 new cities including Warsaw, Krakow, Ostrava,...","Released: 19 Sep, 2013","Overall user reviews:
			Overwhelmingly Positive
						(1,008 reviews)","[{""tags"":""Simulation""},{""tags"":""Driving""},{""tags"":""Indie""},{""tags"":""Open World""},{""tags"":""Multiplayer""},{""tags"":""Realistic""},{""tags"":""Singleplayer""},{""tags"":""Free to Play""}]"
"Arma 3 Apex","Enlist for active duty with Arma 3 Apex to a brand new warzone. With the new 100 km² South Pacific environment Tanoa, 13 weapons, 10 vehicles, a new faction, a co-op campaign, Arma 3 Apex introduces fresh opportunities for all combat operations. This is the PC’s premier military game at its finest.","Released: 11 Jul, 2016","Overall user reviews:
			Very Positive
						(1,241 reviews)","[{""tags"":""Simulation""},{""tags"":""Action""},{""tags"":""Multiplayer""},{""tags"":""Military""},{""tags"":""Strategy""},{""tags"":""Open World""},{""tags"":""FPS""},{""tags"":""Sandbox""},{""tags"":""Co-op""},{""tags"":""Realistic""},{""tags"":""Tactical""},{""tags"":""Shooter""},{""tags"":""Singleplayer""},{""tags"":""Walking Simulator""},{""tags"":""Survival""},{""tags"":""Online Co-Op""},{""tags"":""First-Person""},{""tags"":""RPG""},{""tags"":""Atmospheric""},{""tags"":""Third-Person Shooter""}]"
